date,doc_link,filings,xbrl_link
2019-02-26,https://www.sec.gov/Archives/edgar/data/12927/000001292719000019/0000012927-19-000019-index.htm,8-K,N/A
2019-02-26,https://www.sec.gov/Archives/edgar/data/12927/000001292719000020/0000012927-19-000020-index.htm,DEFA14A,N/A
2019-02-19,https://www.sec.gov/Archives/edgar/data/12927/000119312519044244/0001193125-19-044244-index.htm,8-K,N/A
2019-02-14,https://www.sec.gov/Archives/edgar/data/12927/000119312519041018/0001193125-19-041018-index.htm,424B2,N/A
2019-02-14,https://www.sec.gov/Archives/edgar/data/12927/000008025519002331/0000080255-19-002331-index.htm,SC 13G,N/A
2019-02-13,https://www.sec.gov/Archives/edgar/data/12927/000119312519037989/0001193125-19-037989-index.htm,FWP,N/A
2019-02-13,https://www.sec.gov/Archives/edgar/data/12927/000119312519036991/0001193125-19-036991-index.htm,424B3,N/A
2019-02-11,https://www.sec.gov/Archives/edgar/data/12927/000093247119004987/0000932471-19-004987-index.htm,SC 13G/A,N/A
2019-02-08,https://www.sec.gov/Archives/edgar/data/12927/000001292719000011/0000012927-19-000011-index.htm,IRANNOTICE,N/A
2019-02-08,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/0000012927-19-000010-index.htm,10-K,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/a201812dec3110k_htm.xml
2019-02-04,https://www.sec.gov/Archives/edgar/data/12927/000021545719003091/0000215457-19-003091-index.htm,SC 13G/A,N/A
2019-01-30,https://www.sec.gov/Archives/edgar/data/12927/000117266119000270/0001172661-19-000270-index.htm,SC 13G/A,N/A
2019-01-30,https://www.sec.gov/Archives/edgar/data/12927/000095012319000440/0000950123-19-000440-index.htm,8-K,N/A
2019-01-25,https://www.sec.gov/Archives/edgar/data/12927/000119312519016115/0001193125-19-016115-index.htm,8-K,N/A
2018-12-17,https://www.sec.gov/Archives/edgar/data/12927/000001292718000073/0000012927-18-000073-index.htm,8-K,N/A
2018-10-31,https://www.sec.gov/Archives/edgar/data/12927/000119312518314075/0001193125-18-314075-index.htm,S-8,N/A
2018-10-31,https://www.sec.gov/Archives/edgar/data/12927/000119312518314068/0001193125-18-314068-index.htm,8-K,N/A
2018-10-30,https://www.sec.gov/Archives/edgar/data/12927/000119312518312222/0001193125-18-312222-index.htm,424B2,N/A
2018-10-29,https://www.sec.gov/Archives/edgar/data/12927/000119312518310669/0001193125-18-310669-index.htm,FWP,N/A
2018-10-29,https://www.sec.gov/Archives/edgar/data/12927/000119312518309872/0001193125-18-309872-index.htm,424B3,N/A
2018-10-25,https://www.sec.gov/Archives/edgar/data/12927/000001292718000069/0000012927-18-000069-index.htm,8-K,N/A
