cik_num,date,doc_link,filings,html_link,inter_link,sic_num,xbrl_link
0001326380,2019-04-24,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000065/0001326380-19-000065-index.htm,8-K,,N/A,5734,N/A
0001326380,2019-04-15,https://www.sec.gov/Archives/edgar/data/1326380/000119312519106755/0001193125-19-106755-index.htm,S-8,,N/A,5734,N/A
0001326380,2019-04-05,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000055/0001326380-19-000055-index.htm,8-K,,N/A,5734,N/A
0001326380,2019-04-02,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000052/0001326380-19-000052-index.htm,10-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000052/a10k-fy18q4.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0001326380-19-000052&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000052/gme-20190202.xml
0001326380,2019-04-02,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000051/0001326380-19-000051-index.htm,8-K,,N/A,5734,N/A
0001326380,2019-04-01,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000043/0001326380-19-000043-index.htm,8-K,,N/A,5734,N/A
0001326380,2019-03-29,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000041/0001326380-19-000041-index.htm,8-K,,N/A,5734,N/A
0001326380,2019-03-28,https://www.sec.gov/Archives/edgar/data/1326380/000092189519000922/0000921895-19-000922-index.htm,DFAN14A,,N/A,5734,N/A
0001326380,2019-03-21,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000030/0001326380-19-000030-index.htm,8-K,,N/A,5734,N/A
0001326380,2019-03-14,https://www.sec.gov/Archives/edgar/data/1326380/000092189519000738/0000921895-19-000738-index.htm,DFAN14A,,N/A,5734,N/A
0001326380,2019-03-06,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000026/0001326380-19-000026-index.htm,8-K,,N/A,5734,N/A
0001326380,2019-03-04,https://www.sec.gov/Archives/edgar/data/1326380/000132638019000024/0001326380-19-000024-index.htm,8-K,,N/A,5734,N/A
