adminregion,ain,assessorid,bathrooms,bedrooms,center_lat,center_lon,cluster,effectiveyearbuilt,istaxableparcel,location_1,location_1_address,nettaxablevalue,parcelboundarydescription,parcelclassification,propertylocation,recordingdate,roll_fixtureexemp,roll_fixturevalue,roll_homeownersexemp,roll_impbaseyear,roll_impvalue,roll_landbaseyear,roll_landvalue,roll_perspropexemp,roll_perspropvalue,roll_realestateexemp,roll_totalexemption,roll_totalvalue,roll_totlandimp,rollyear,rowid,situscity,situsdirection,situsfraction,situshouseno,situsstreet,situsunit,situszip,situszip5,sqftmain,taxratearea,taxratearea_city,totbuildingdatalines,units,usecode,usecodedescchar1,usecodedescchar2,usecodedescchar3,usecodedescchar4,usetype,yearbuilt,sqft_value
09,5155021027,5155-021-027,10,20,34.065983845567061,-118.27948989603451,09440,1924,Y,"{'type': 'Point', 'coordinates': [-118.279489896034, 34.065983845567]}",,2528171,"TR=91 NE 52 FT OF SE 140 FT LOT 111, SW 4 FT OF SE 140 FT LOT 113, ALL LOT 112", ,335 S RAMPART BLVD  LOS ANGELES CA  90057,20170120,0,0,0,2016,834400,2016,1693771,0,0,0,0,2528171,2528171,2018,20185155021027,LOS ANGELES CA,S, ,335,RAMPART BLVD, ,90057-1711,90057,11325,12706,LOS ANGELES,2,8,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1922,223.2380573951435
07,4303012102,4303-012-102,4,4,34.051446048146779,-118.37910794674667,07431,1938,Y,"{'type': 'Point', 'coordinates': [-118.379107946747, 34.051446048147]}",,2684800,TR=7385 LOTS 153 AND 154, ,1505 S HOLT AVE  LOS ANGELES CA  90035,20140305,0,0,0,2014,637800,2014,2047000,0,0,0,0,2684800,2684800,2018,20184303012102,LOS ANGELES CA,S, ,1505,HOLT AVE, ,90035-3694,90035,7117,00067,LOS ANGELES,2,8,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1929,377.23760011240694
09,4233023087,4233-023-087,9,11,33.998976260604437,-118.41900686617234,09407,1951,Y,"{'type': 'Point', 'coordinates': [-118.419006866172, 33.998976260604]}",,2176527,TR=1971 LOTS 81 AND 82, ,11806 COURTLEIGH DR  LOS ANGELES CA  90066,20151209,0,0,0,2016,611859,2016,1564668,0,0,0,0,2176527,2176527,2018,20184233023087,LOS ANGELES CA, , ,11806,COURTLEIGH DR, ,90066-6310,90066,4705,00067,LOS ANGELES,3,9,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1946,462.59872476089265
09,4103009098,4103-009-098,12,17,33.97292446255711,-118.37530303400426,09412,1950,Y,"{'type': 'Point', 'coordinates': [-118.375303034004, 33.972924462557]}",,3989220,"TR=11569 LOTS 23, 24 AND 25", ,7128 LA TIJERA BLVD  LOS ANGELES CA  90045,20161229,0,0,0,2017,751128,2017,3238092,0,0,0,0,3989220,3989220,2018,20184103009098,LOS ANGELES CA, , ,7128,LA TIJERA BLVD, ,90045-2110,90045,8061,00068,LOS ANGELES,3,12,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1949,494.8790472646074
09,5152007026,5152-007-026,4,1,34.06053303,-118.25982215,09440,1930,Y,"{'type': 'Point', 'coordinates': [-118.25982215, 34.06053303]}",LUCAS AVE,522150,MR 10-81 1/2 VAC ALLEY ADJ ON SE AND LOT 13 BLK O, ,200 LUCAS AVE  LOS ANGELES CA  90026,20090130,0,0,0,2009,195805,2009,326345,0,0,0,0,522150,522150,2016,20165152007026,LOS ANGELES CA, , ,200,LUCAS AVE, ,90026-6143,90026,2110,00067,LOS ANGELES,2,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1914,247.46445497630333
09,5152002011,5152-002-011,4,4,34.05588046,-118.26187936,09440,1922,Y,"{'type': 'Point', 'coordinates': [-118.26187936, 34.05588046]}",MARYLAND ST,2050520,DOWNEY TRACT LOT    9 BLK    4, ,1322 MARYLAND ST  LOS ANGELES CA  90017,20151002,0,0,0,2016,685500,2016,1364500,0,520,0,0,2050520,2050000,2016,20165152002011,LOS ANGELES CA, , ,1322,MARYLAND ST, ,90017-2012,90017,4976,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1922,412.08199356913184
09,5153003028,5153-003-028,4,6,34.06053298,-118.26905165,09440,1943,Y,"{'type': 'Point', 'coordinates': [-118.26905165, 34.06053298]}",BURLINGTON AVE,78252,RESUB OF PART OF BLK 1 COLINA PARK LOT   19, ,326 S BURLINGTON AVE  LOS ANGELES CA  90057,19870123,0,0,0,1975,49068,1975,29184,0,0,0,0,78252,78252,2016,20165153003028,LOS ANGELES CA,S, ,326,BURLINGTON AVE, ,90057-3004,90057,3196,12706,LOS ANGELES,2,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1937,24.484355444305383
09,5154004004,5154-004-004,4,4,34.06561179,-118.26943397,09440,1950,Y,"{'type': 'Point', 'coordinates': [-118.26943397, 34.06561179]}",WESTLAKE AVE,675000,HAYS TRACT LOT    4 BLK    B, ,117 S WESTLAKE AVE  LOS ANGELES CA  90057,20150904,0,0,0,2016,175000,2016,500000,0,0,0,0,675000,675000,2016,20165154004004,LOS ANGELES CA,S, ,117,WESTLAKE AVE, ,90057-2411,90057,3946,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1949,171.0593005575266
09,5153023908,5153-023-908,4,4,34.05653748,-118.26348368,09440,1921,N,"{'type': 'Point', 'coordinates': [-118.26348368, 34.05653748]}",HARTFORD AVE,0,BENTLEY AND CRIPPENS SUB OF E 1/2 OF LOT 7 BLK 38 HANCOCKS SURVEY LOT 15 BLK 3,Public (non-taxable government-owned),466 HARTFORD AVE  LOS ANGELES CA  90017,20051024,0,0,0,2004,0,2004,0,0,0,0,0,0,0,2016,20165153023908,LOS ANGELES CA, , ,466,HARTFORD AVE, ,90017-1306,90017,4984,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1921,0.0
09,5153021007,5153-021-007,4,4,34.05681128,-118.26563306,09440,1922,Y,"{'type': 'Point', 'coordinates': [-118.26563306, 34.05681128]}",COLUMBIA AVE,252803,COLINA PARK VAC ST ADJ ON NW AND LOT   35 BLK    N, ,500 COLUMBIA AVE  LOS ANGELES CA  90017,19951019,0,0,0,1996,157164,1996,95419,0,220,0,0,252803,252583,2016,20165153021007,LOS ANGELES CA, , ,500,COLUMBIA AVE, ,90017-1210,90017,4168,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1922,60.65331094049904
