SERIES_ID,YEAR,PERIOD,VALUE,NEW_CPI,PERCENT,,
CUSR0000SA0,1947,M01,21.48,1176.317505,10.76317505,,
CUSR0000SA0,1948,M01,23.68,1067.03125,9.6703125,,
CUSR0000SA0,1949,M01,24.01,1052.365681,9.52365681,,
CUSR0000SA0,1950,M01,23.51,1074.746916,9.747469162,,
CUSR0000SA0,1951,M01,25.38,995.5594957,8.955594957,,
CUSR0000SA0,1952,M01,26.45,955.2854442,8.552854442,,
CUSR0000SA0,1953,M01,26.64,948.4722222,8.484722222,,
CUSR0000SA0,1954,M01,26.94,937.9101707,8.379101707,,
CUSR0000SA0,1955,M01,26.77,943.8662682,8.438662682,,
CUSR0000SA0,1956,M01,26.83,941.7554976,8.417554976,,
CUSR0000SA0,1957,M01,27.67,913.1658836,8.131658836,,
CUSR0000SA0E,1957,M01,21.3,1186.258216,10.86258216,,
CUSR0000SA0,1958,M01,28.64,882.2381285,7.822381285,,
CUSR0000SA0E,1958,M01,21.6,1169.782407,10.69782407,,
CUSR0000SA0,1959,M01,29.01,870.9858669,7.709858669,,
CUSR0000SA0E,1959,M01,21.4,1180.714953,10.80714953,,
CUSR0000SA0,1960,M01,29.37,860.30984,7.6030984,,
CUSR0000SA0E,1960,M01,22.3,1133.06278,10.3306278,,
CUSR0000SA0,1961,M01,29.84,846.7593834,7.467593834,,
CUSR0000SA0E,1961,M01,22.7,1113.096916,10.13096916,,
CUSR0000SA0,1962,M01,30.04,841.1218375,7.411218375,,
CUSR0000SA0E,1962,M01,22.4,1128.004464,10.28004464,,
CUSR0000SA0,1963,M01,30.44,830.0689882,7.300689882,,
CUSR0000SA0E,1963,M01,22.8,1108.214912,10.08214912,,
CUSR0000SA0,1964,M01,30.94,816.6548158,7.166548158,,
CUSR0000SA0E,1964,M01,22.8,1108.214912,10.08214912,,
CUSR0000SA0,1965,M01,31.28,807.778133,7.07778133,,
CUSR0000SA0E,1965,M01,22.8,1108.214912,10.08214912,,
CUSR0000SA0,1966,M01,31.88,792.5752823,6.925752823,,
CUSR0000SA0E,1966,M01,23.1,1093.822511,9.938225108,,
CUSR0000SA0,1967,M01,32.9,768.0030395,6.680030395,,
CUSR0000SA0E,1967,M01,23.6,1070.648305,9.706483051,,
CUSR0000SA0,1968,M01,34.1,740.9765396,6.409765396,,
CUSR0000SA0E,1968,M01,24,1052.804167,9.528041667,,
CUSR0000SA0,1969,M01,35.7,707.767507,6.07767507,,
CUSR0000SA0E,1969,M01,24.4,1035.545082,9.35545082,,
CUSR0000SA0,1970,M01,37.9,666.6833773,5.666833773,,
CUSR0000SA0E,1970,M01,25.1,1006.665339,9.066653386,,
CUSR0000SA0,1971,M01,39.9,633.2656642,5.332656642,,
CUSR0000SA0E,1971,M01,26.3,960.7338403,8.607338403,,
CUSR0000SA0,1972,M01,41.2,613.2839806,5.132839806,,
CUSR0000SA0E,1972,M01,27,935.8259259,8.358259259,,
CUSR0000SA0,1973,M01,42.7,591.7400468,4.917400468,,
CUSR0000SA0E,1973,M01,27.9,905.6379928,8.056379928,,
CUSR0000SA0,1974,M01,46.8,539.8995726,4.398995726,,
CUSR0000SA0E,1974,M01,34.1,740.9765396,6.409765396,,
CUSR0000SA0,1975,M01,52.3,483.1223709,3.831223709,,
CUSR0000SA0E,1975,M01,40,631.6825,5.316825,,
CUSR0000SA0,1976,M01,55.8,452.8189964,3.528189964,,
CUSR0000SA0E,1976,M01,44.5,567.8044944,4.678044944,,
CUSR0000SA0,1977,M01,58.7,430.4480409,3.304480409,,
CUSR0000SA0E,1977,M01,48.1,525.3076923,4.253076923,,
CUSR0000SA0,1978,M01,62.7,402.9872408,3.029872408,,
CUSR0000SA0E,1978,M01,51.1,494.4677104,3.944677104,,
CUSR0000SA0,1979,M01,68.5,368.8656934,2.688656934,,
CUSR0000SA0E,1979,M01,55.8,452.8189964,3.528189964,,
CUSR0000SA0,1980,M01,78,323.9397436,2.239397436,,
CUSR0000SA0E,1980,M01,79.1,319.4348925,2.194348925,,
CUSR0000SA0,1981,M01,87.2,289.7626147,1.897626147,,
CUSR0000SA0E,1981,M01,92.1,274.3463626,1.743463626,,
CUSR0000SA0,1982,M01,94.4,267.6620763,1.676620763,,
CUSR0000SA0E,1982,M01,100.6,251.166004,1.51166004,,
CUSR0000SA0,1983,M01,97.9,258.092952,1.58092952,,
CUSR0000SA0E,1983,M01,99.6,253.687751,1.53687751,,
CUSR0000SA0,1984,M01,102.1,247.4760039,1.474760039,,
CUSR0000SA0,1985,M01,105.7,239.0473037,1.390473037,,
CUSR0000SA0,1986,M01,109.9,229.9117379,1.299117379,,
CUSR0000SA0,1987,M01,111.4,226.8159785,1.268159785,,
CUSR0000SA0,1988,M01,116,217.8215517,1.178215517,,
CUSR0000SA0,1989,M01,121.2,208.4760726,1.084760726,,
CUSR0000SA0,1990,M01,127.5,198.174902,0.98174902,,
CUSR0000SA0,1991,M01,134.7,187.5820341,0.875820341,,
CUSR0000SA0,1992,M01,138.3,182.6992046,0.826992046,,
CUSR0000SA0,1993,M01,142.8,176.9418768,0.769418768,,
CUSR0000SA0,1994,M01,146.3,172.7088175,0.727088175,,
CUSR0000SA0,1995,M01,150.5,167.8890365,0.678890365,,
CUSR0000SA0,1996,M01,154.7,163.3309632,0.633309632,,
CUSR0000SA0,1997,M01,159.4,158.5150565,0.585150565,,
CUSR0000SA0,1998,M01,162,155.9709877,0.559709877,,
CUSR0000SA0,1999,M01,164.7,153.4140862,0.534140862,,
CUSR0000SA0,2000,M01,169.3,149.2457177,0.492457177,,
CUSR0000SA0,2001,M01,175.6,143.8912301,0.438912301,,
CUSR0000SA0,2002,M01,177.7,142.190771,0.42190771,,
CUSR0000SA0,2003,M01,182.6,138.3751369,0.383751369,,
CUSR0000SA0,2004,M01,186.3,135.6269458,0.356269458,,
CUSR0000SA0,2005,M01,191.6,131.875261,0.31875261,,
CUSR0000SA0,2006,M01,199.3,126.7802308,0.267802308,,
